Batch ID,Batch Name,Day,S1,S2,S3,S4,S5,S6,S7,S8,S9
22,btech-EE-3-A,Fri,[T] Power Electronics (SnC),[T] Renewable & NC Energy (SA),[T] Electrical Machine II (GG),[T] DSA (SuB),--- LUNCH ---,"[L:120] Power System I Lab (SrC,MA)","[L:120] Power System I Lab (SrC,MA)",,

23,btech-EE-3-B,Mon,,[T] Electrical Machine II (GG),[T] DSA (SuB),,--- LUNCH ---,,,"[L:120] Power System I Lab (SrC,MA)","[L:120] Power System I Lab (SrC,MA)"
23,btech-EE-3-B,Tue,[T] Renewable & NC Energy (SA),[T] Power System I (SrC),[T] Power Electronics (SnC),[T] Control System (RRK),--- LUNCH ---,,,,
23,btech-EE-3-B,Wed,[T] Control System (RRK),[T] Power Electronics (SnC),[T] Renewable & NC Energy (SA),[T] Power System I (SrC),--- LUNCH ---,,,,
23,btech-EE-3-B,Thu,[T] Power System I (SrC),[T] DSA (SuB),[T] Control System (RRK),[T] Electrical Machine II (GG),--- LUNCH ---,"[L:118] Control System Lab (GG,MA)","[L:118] Control System Lab (GG,MA)","[L:117] Electrical Machine II Lab (SnC,AK)","[L:117] Electrical Machine II Lab (SnC,AK)"
23,btech-EE-3-B,Fri,[T] Power Electronics (SnC),[T] Renewable & NC Energy (SA),[T] Electrical Machine II (GG),[T] DSA (SuB),--- LUNCH ---,"[L:119] Power Electronics Lab (RRK,AK)","[L:119] Power Electronics Lab (RRK,AK)",,

24,btech-CSE-3-A,Mon,[T] Object Oriented Programming (SUD),[T] Intro to industrial management (TnS),[T] Operating System (SDM),[T] Probability & Statistics (DG),--- LUNCH ---,"[L:124] Machine Learning Lab (IW,PPS)","[L:124] Machine Learning Lab (IW,PPS)","[L:124] Operating System Lab (SuB,PPS)","[L:124] Operating System Lab (SuB,PPS)"
24,btech-CSE-3-A,Tue,[T] Intro to Machine Learning (IW),[T] Object Oriented Programming (SUD),"[L:124] OOP & Java Lab (SUD,SNM)","[L:124] OOP & Java Lab (SUD,SNM)",--- LUNCH ---,,,,
24,btech-CSE-3-A,Wed,[T] Operating System (SDM),[T] Intro to Machine Learning (IW),[T] Probability & Statistics (DG),[T] Intro to industrial management (TnS),--- LUNCH ---,,,"[L:124] Machine Learning Lab (IW,PPS)","[L:124] Machine Learning Lab (IW,PPS)"
24,btech-CSE-3-A,Thu,[T] Probability & Statistics (DG),,[T] Intro to industrial management (TnS),[T] Object Oriented Programming (SUD),--- LUNCH ---,"[L:124] Operating System Lab (SuB,PPS)","[L:124] Operating System Lab (SuB,PPS)",,
24,btech-CSE-3-A,Fri,"[L:124] OOP & Java Lab (SUD,SNM)","[L:124] OOP & Java Lab (SUD,SNM)",[T] Intro to Machine Learning (IW),[T] Operating System (SDM),--- LUNCH ---,,,,

25,btech-ME-4-A,Mon,[T] Mechanical Vibration (DS),[T] CAD-CAM (HbM),[T] Advanced Weilding technolog (TnS),[T] Advance Manufacturing Technology (DD),--- LUNCH ---,[T] Automobile Engineering (NM),,,
25,btech-ME-4-A,Tue,[T] Advance Manufacturing Technology (DD),[T] Non-Conventional Energy (SkD),[T] Industrial Engineering (AnP),[T] Automobile Engineering (NM),--- LUNCH ---,[T] Economics (PS),,,
25,btech-ME-4-A,Wed,[T] Non-Conventional Energy (SkD),[T] Advance Manufacturing Technology (DD),[T] Automobile Engineering (NM),[T] Industrial Engineering (AnP),--- LUNCH ---,[T] CAD-CAM (HbM),,,
25,btech-ME-4-A,Thu,[T] Advanced Weilding technolog (TnS),[T] Economics (PS),[T] Mechanical Vibration (DS),[T] CAD-CAM (HbM),--- LUNCH ---,"[L:135] Mechanical Engineering Lab III (DD,SdC)","[L:135] Mechanical Engineering Lab III (DD,SdC)","[L:135] Mechanical Engineering Lab III (DD,SdC)",
25,btech-ME-4-A,Fri,[T] Industrial Engineering (AnP),[T] Mechanical Vibration (DS),[T] Economics (PS),[T] Non-Conventional Energy (SkD),--- LUNCH ---,[T] Advanced Weilding technolog (TnS),,,

26,btech-FET-4-A,Mon,[T] Food Packaging Technology (SC),[T] Nanoscience in Food Science (KKD),,[T] Modelling and Sim. of Food Process (SC),--- LUNCH ---,[L:140] Product Development & Quality Assurance Lab (KKD),[L:140] Product Development & Quality Assurance Lab (KKD),[L:140] Product Development & Quality Assurance Lab (KKD),
26,btech-FET-4-A,Tue,[T] Modelling and Sim. of Food Process (SC),[T] Food Saftey & Quality Management (VK),[T] Entrepreuneurship for Food Tech (AnS),[T] Nanoscience in Food Science (KKD),--- LUNCH ---,,,,
26,btech-FET-4-A,Wed,[T] Entrepreuneurship for Food Tech (AnS),,[T] Project Engg & Food Plant Layout (ABD),[T] Food Saftey & Quality Management (VK),--- LUNCH ---,,,,
26,btech-FET-4-A,Thu,[T] Food Saftey & Quality Management (VK),[T] Project Engg & Food Plant Layout (ABD),[T] Food Packaging Technology (SC),[T] Entrepreuneurship for Food Tech (AnS),--- LUNCH ---,,,,
26,btech-FET-4-A,Fri,[T] Nanoscience in Food Science (KKD),[T] Food Packaging Technology (SC),[T] Modelling and Sim. of Food Process (SC),[T] Project Engg & Food Plant Layout (ABD),--- LUNCH ---,,,,

27,btech-EE-4-A,Mon,,,[T] Digital Image Processing (AR),[T] Electric Drive (CS),--- LUNCH ---,,,,
27,btech-EE-4-A,Tue,[T] Electric Drive (CS),[T] Digital Image Processing (AR),[T] Artificial Intelligence (SuB),[T] Principles of Management (PS),--- LUNCH ---,,,,
27,btech-EE-4-A,Wed,[T] Digital Image Processing (AR),,,[T] Power Generation Economics (SnC),--- LUNCH ---,,,,
27,btech-EE-4-A,Thu,[T] Power Generation Economics (SnC),[T] Electric Drive (CS),[T] Principles of Management (PS),[T] Artificial Intelligence (SuB),--- LUNCH ---,"[L:107] Electrical Drive Lab (CS,AK)","[L:107] Electrical Drive Lab (CS,AK)",,
27,btech-EE-4-A,Fri,[T] Principles of Management (PS),[T] Artificial Intelligence (SuB),[T] Power Generation Economics (SnC),,--- LUNCH ---,,,,

28,btech-EE-4-B,Mon,,,[T] Digital Image Processing (AR),[T] Electric Drive (CS),--- LUNCH ---,,,"[L:107] Electrical Drive Lab (CS,AK)","[L:107] Electrical Drive Lab (CS,AK)"
28,btech-EE-4-B,Tue,[T] Electric Drive (CS),[T] Digital Image Processing (AR),[T] Artificial Intelligence (SuB),[T] Principles of Management (PS),--- LUNCH ---,,,,
28,btech-EE-4-B,Wed,[T] Digital Image Processing (AR),,,[T] Power Generation Economics (SnC),--- LUNCH ---,,,,
28,btech-EE-4-B,Thu,[T] Power Generation Economics (SnC),[T] Electric Drive (CS),[T] Principles of Management (PS),[T] Artificial Intelligence (SuB),--- LUNCH ---,,,,
28,btech-EE-4-B,Fri,[T] Principles of Management (PS),[T] Artificial Intelligence (SuB),[T] Power Generation Economics (SnC),,--- LUNCH ---,,,,

29,diploma-EE+ME+FPT-1-A,Mon,--- OFF ---,,"[L:103] Engineering Ghraphics (SkD,PbM)","[L:103] Engineering Ghraphics (SkD,PbM)","[L:103] Engineering Ghraphics (SkD,PbM)",--- LUNCH ---,,,
29,diploma-EE+ME+FPT-1-A,Tue,--- OFF ---,,[T] Applied Physics (RD),,,--- LUNCH ---,[L:105] Communication Skill in English Lab (SSC),[L:105] Communication Skill in English Lab (SSC),
29,diploma-EE+ME+FPT-1-A,Wed,--- OFF ---,[T] Applied Physics (RD),,[T] Applied Chemistry (AM),[T] Mathematics-I (BKT),--- LUNCH ---,[L:101] Applied Chemistry Lab (AM),[L:101] Applied Chemistry Lab (AM),
29,diploma-EE+ME+FPT-1-A,Thu,--- OFF ---,,[T] Communication Skill in English (SSC),[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),--- LUNCH ---,[L:102] Applied Physics Lab (Guest),[L:102] Applied Physics Lab (Guest),
29,diploma-EE+ME+FPT-1-A,Fri,--- OFF ---,[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),[T] Applied Physics (RD),[T] Communication Skill in English (SSC),--- LUNCH ---,"[L:104] Engineering Workshop Practics (NM,PrS)","[L:104] Engineering Workshop Practics (NM,PrS)","[L:104] Engineering Workshop Practics (NM,PrS)"

30,diploma-EE+ME+FPT-1-B,Mon,--- OFF ---,,,,,--- LUNCH ---,[L:105] Communication Skill in English Lab (SSC),[L:105] Communication Skill in English Lab (SSC),
30,diploma-EE+ME+FPT-1-B,Tue,--- OFF ---,,[T] Applied Physics (RD),,,--- LUNCH ---,"[L:104] Engineering Workshop Practics (RR,SdC)","[L:104] Engineering Workshop Practics (RR,SdC)","[L:104] Engineering Workshop Practics (RR,SdC)"
30,diploma-EE+ME+FPT-1-B,Wed,--- OFF ---,[T] Applied Physics (RD),,[T] Applied Chemistry (AM),[T] Mathematics-I (BKT),--- LUNCH ---,[L:102] Applied Physics Lab (Guest),[L:102] Applied Physics Lab (Guest),
30,diploma-EE+ME+FPT-1-B,Thu,--- OFF ---,,[T] Communication Skill in English (SSC),[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),--- LUNCH ---,"[L:103] Engineering Ghraphics (RR,PbM)","[L:103] Engineering Ghraphics (RR,PbM)","[L:103] Engineering Ghraphics (RR,PbM)"
30,diploma-EE+ME+FPT-1-B,Fri,--- OFF ---,[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),[T] Applied Physics (RD),[T] Communication Skill in English (SSC),--- LUNCH ---,[L:101] Applied Chemistry Lab (AM),[L:101] Applied Chemistry Lab (AM),

31,diploma-CST+CE-1-A,Mon,--- OFF ---,,,,,--- LUNCH ---,"[L:104] Engineering Workshop Practics (RR,PbM)","[L:104] Engineering Workshop Practics (RR,PbM)","[L:104] Engineering Workshop Practics (RR,PbM)"
31,diploma-CST+CE-1-A,Tue,--- OFF ---,,[T] Applied Physics (RD),,,--- LUNCH ---,[L:101] Applied Chemistry Lab (SN),[L:101] Applied Chemistry Lab (SN),
31,diploma-CST+CE-1-A,Wed,--- OFF ---,[T] Applied Physics (RD),,[T] Applied Chemistry (AM),[T] Mathematics-I (BKT),--- LUNCH ---,"[L:103] Engineering Ghraphics (HbR,PrS)","[L:103] Engineering Ghraphics (HbR,PrS)","[L:103] Engineering Ghraphics (HbR,PrS)"
31,diploma-CST+CE-1-A,Thu,--- OFF ---,,[T] Communication Skill in English (SSC),[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),--- LUNCH ---,[L:105] Communication Skill in English Lab (CD),[L:105] Communication Skill in English Lab (CD),
31,diploma-CST+CE-1-A,Fri,--- OFF ---,[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),[T] Applied Physics (RD),[T] Communication Skill in English (SSC),--- LUNCH ---,[L:102] Applied Physics Lab (RD),[L:102] Applied Physics Lab (RD),

32,diploma-CST+CE-1-B,Mon,--- OFF ---,,,,,--- LUNCH ---,[L:102] Applied Physics Lab (RD),[L:102] Applied Physics Lab (RD),
32,diploma-CST+CE-1-B,Tue,--- OFF ---,,[T] Applied Physics (RD),,,--- LUNCH ---,"[L:103] Engineering Ghraphics (TrD,SbK)","[L:103] Engineering Ghraphics (TrD,SbK)","[L:103] Engineering Ghraphics (TrD,SbK)"
32,diploma-CST+CE-1-B,Wed,--- OFF ---,[T] Applied Physics (RD),,[T] Applied Chemistry (AM),[T] Mathematics-I (BKT),--- LUNCH ---,"[L:104] Engineering Workshop Practics (RR,SbK)","[L:104] Engineering Workshop Practics (RR,SbK)","[L:104] Engineering Workshop Practics (RR,SbK)"
32,diploma-CST+CE-1-B,Thu,--- OFF ---,,[T] Communication Skill in English (SSC),[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),--- LUNCH ---,[L:101] Applied Chemistry Lab (SN),[L:101] Applied Chemistry Lab (SN),
32,diploma-CST+CE-1-B,Fri,--- OFF ---,[T] Mathematics-I (BKT),[T] Applied Chemistry (AM),[T] Applied Physics (RD),[T] Communication Skill in English (SSC),--- LUNCH ---,[L:105] Communication Skill in English Lab (CD),[L:105] Communication Skill in English Lab (CD),

33,diploma-ME-2-A,Mon,--- OFF ---,[T] Mech. Eng. Materials (RR),[T] Thermal Engineering (NM),[T] Strength of Material (TrD),[T] Mech Eng Drawing (HbM),--- LUNCH ---,"[L:132] Material Testing Lab (HbM,SdC)","[L:132] Material Testing Lab (HbM,SdC)",
33,diploma-ME-2-A,Tue,--- OFF ---,[T] Mech Eng Drawing (HbM),[T] Mech. Eng. Materials (RR),[T] Manufactoring Process 1 (AbK),[T] Thermal Engineering (NM),--- LUNCH ---,,,
33,diploma-ME-2-A,Wed,--- OFF ---,[T] Strength of Material (TrD),"[L:130] Manufactoring Process 1 Practice Lab (AbK,PbM)","[L:130] Manufactoring Process 1 Practice Lab (AbK,PbM)",[T] Mech. Eng. Materials (RR),--- LUNCH ---,,,
33,diploma-ME-2-A,Thu,--- OFF ---,"[L:133] Mech. Eng. Drawing Practice (HbM,PbM)","[L:133] Mech. Eng. Drawing Practice (HbM,PbM)",[T] Thermal Engineering (NM),[T] Manufactoring Process 1 (AbK),--- LUNCH ---,"[L:131] Thermal Engineering Lab (TrD,SbK)","[L:131] Thermal Engineering Lab (TrD,SbK)",
33,diploma-ME-2-A,Fri,--- OFF ---,[T] Manufactoring Process 1 (AbK),[T] Strength of Material (TrD),"[L:130] Manufactoring Process 1 Practice Lab (AbK,PbM)","[L:130] Manufactoring Process 1 Practice Lab (AbK,PbM)",--- LUNCH ---,"[L:133] Mech. Eng. Drawing Practice (HbM,PbM)","[L:133] Mech. Eng. Drawing Practice (HbM,PbM)",

34,diploma-CE-2-A,Mon,--- OFF ---,[T] Concrete Technology (HS),[T] Mechanics of Material (SB),[T] Buliding Construction (SB),[T] Transotation Engg. (PY),--- LUNCH ---,[L:127] Mechanics of Material Lab (PY),[L:127] Mechanics of Material Lab (PY),
34,diploma-CE-2-A,Tue,--- OFF ---,[L:126] Concrete Technology Lab (HS),[L:126] Concrete Technology Lab (HS),[T] Concrete Technology (HS),[T] Mechanics of Material (SB),--- LUNCH ---,[L:128] CE Planning and Drawing Lab (PY),[L:128] CE Planning and Drawing Lab (PY),
34,diploma-CE-2-A,Wed,--- OFF ---,[T] Transotation Engg. (PY),[T] Buliding Construction (SB),[T] CE Planning and Drawing (HS),[T] Basic Surveying (HR),--- LUNCH ---,[L:125] Transportation Engg. Lab (PY),[L:125] Transportation Engg. Lab (PY),
34,diploma-CE-2-A,Thu,--- OFF ---,[T] Basic Surveying (HR),[T] Construction of Materials (KY),,,--- LUNCH ---,[L:128] CE Planning and Drawing Lab (PY),[L:128] CE Planning and Drawing Lab (PY),
34,diploma-CE-2-A,Fri,--- OFF ---,[T] Mechanics of Material (SB),,[T] Basic Surveying (HR),[T] Construction of Materials (KY),--- LUNCH ---,[L:126] Construction of Materials lLab (SB),[L:126] Construction of Materials lLab (SB),

35,diploma-FET-2-A,Mon,--- OFF ---,[L:137] Chemistry of Food Lab (MiM),[L:137] Chemistry of Food Lab (MiM),[T] Food Microbiology (JA),[T] Chemistry of Food (SKD),--- LUNCH ---,[L:136] Food Preservation Lab (MS),[L:136] Food Preservation Lab (MS),
35,diploma-FET-2-A,Tue,--- OFF ---,,[T] Unit Operation of Chemical Engineering - I (VK),[T] Engg. Thermodynamics & Chem Kinetics (SC),[T] Food Microbiology (JA),--- LUNCH ---,[L:138] Food Microbiology lab (PR),[L:138] Food Microbiology lab (PR),[L:138] Food Microbiology lab (PR)
35,diploma-FET-2-A,Wed,--- OFF ---,[T] Unit Operation of Chemical Engineering - I (VK),,[T] Chemistry of Food (SKD),[T] Engg. Thermodynamics & Chem Kinetics (SC),--- LUNCH ---,[L:136] Food Preservation Lab (MS),[L:136] Food Preservation Lab (MS),
35,diploma-FET-2-A,Thu,--- OFF ---,,,[T] Fundamental Chemistry (SKD),[T] Technology in Food Preservation (JA),--- LUNCH ---,[L:139] Unit Operation of Chemical Engineering - I Lab (MS),[L:139] Unit Operation of Chemical Engineering - I Lab (MS),
35,diploma-FET-2-A,Fri,--- OFF ---,[T] Technology in Food Preservation (JA),[T] Fundamental Chemistry (SKD),[T] Unit Operation of Chemical Engineering - I (VK),,--- LUNCH ---,[L:137] Chemistry of Food Lab (MiM),[L:137] Chemistry of Food Lab (MiM),

36,diploma-EE-2-A,Mon,--- OFF ---,,[T] Electrical Circuits (RK),,[T] DC Machines and Transformers (RRK),--- LUNCH ---,,,
36,diploma-EE-2-A,Tue,--- OFF ---,,,[T] Electrical Circuits (RK),[T] Electrical and Electronics Measurment (SA),--- LUNCH ---,"[L:107] Electircal and Electronics Measurment Labs (SA,DM)","[L:107] Electircal and Electronics Measurment Labs (SA,DM)",
36,diploma-EE-2-A,Wed,--- OFF ---,[T] DC Machines and Transformers (RRK),[T] Analog and Digital Electronics (TkD),[T] Electrical and Electronics Measurment (SA),[T] Introduction to Electric Generation System (AmK),--- LUNCH ---,,"[L:108] Introduction to Electric Generation System Labs (AmK,AB)","[L:108] Introduction to Electric Generation System Labs (AmK,AB)"
36,diploma-EE-2-A,Thu,--- OFF ---,[T] Analog and Digital Electronics (TkD),[T] Introduction to Electric Generation System (AmK),,[T] Electrical Circuits (RK),--- LUNCH ---,"[L:109] DC Machines and Transformers Labs (RRK,DM)","[L:109] DC Machines and Transformers Labs (RRK,DM)",
36,diploma-EE-2-A,Fri,--- OFF ---,[T] Introduction to Electric Generation System (AmK),[T] Electrical and Electronics Measurment (SA),[T] DC Machines and Transformers (RRK),[T] Analog and Digital Electronics (TkD),--- LUNCH ---,"[L:106] Analog and Digital Electronics Labs (GG,SM)","[L:106] Analog and Digital Electronics Labs (GG,SM)",

37,diploma-CST-2-A,Mon,--- OFF ---,,[T] Computer Programming (SUD),[T] Computer System Organization (SDM),[T] Data Structure (TKO),--- LUNCH ---,,"[L:115] Scripting Languages Lab (SUD,SNM)","[L:115] Scripting Languages Lab (SUD,SNM)"
37,diploma-CST-2-A,Tue,--- OFF ---,[T] Computer System Organization (SDM),[T] Algorithms (DR),,[T] Scripting Languages (IW),--- LUNCH ---,,"[L:121] Computer Programming Lab (SuB,PPS)","[L:121] Computer Programming Lab (SuB,PPS)"
37,diploma-CST-2-A,Wed,--- OFF ---,[T] Data Structure (TKO),[T] Scripting Languages (IW),,[T] Algorithms (DR),--- LUNCH ---,,"[L:115] Scripting Languages Lab (SUD,SNM)","[L:115] Scripting Languages Lab (SUD,SNM)"
37,diploma-CST-2-A,Thu,--- OFF ---,,[T] Computer System Organization (SDM),,,--- LUNCH ---,,"[L:115] Data Structure Lab (TKO,PPS)","[L:115] Data Structure Lab (TKO,PPS)"
37,diploma-CST-2-A,Fri,--- OFF ---,[T] Algorithms (DR),[T] Data Structure (TKO),[T] Computer Programming (SUD),[T] Computer System Organization (SDM),--- LUNCH ---,,"[L:121] Computer Programming Lab (SuB,PPS)","[L:121] Computer Programming Lab (SuB,PPS)"

38,diploma-ME-3-A,Mon,--- OFF ---,[T] Elective-Automobile Engineering (TrD),,[T] Power Engineering (SlM),[T] Advance Manufactoring Process (AbK),--- LUNCH ---,,,
38,diploma-ME-3-A,Tue,--- OFF ---,[T] Advance Manufactoring Process (AbK),,[T] Fluid Mechanis and Machinery (SlM),[T] Elective-Material Handling System (AnP),--- LUNCH ---,,,
38,diploma-ME-3-A,Wed,--- OFF ---,[T] Power Engineering (SlM),,,,--- LUNCH ---,,,
38,diploma-ME-3-A,Thu,--- OFF ---,[T] Fluid Mechanis and Machinery (SlM),[T] Elective-Material Handling System (AnP),[T] Advance Manufactoring Process (AbK),[T] Power Engineering (SlM),--- LUNCH ---,,,
38,diploma-ME-3-A,Fri,--- OFF ---,"[L:130] Advance Manufactoring Process Lab (TnS,SdC)","[L:130] Advance Manufactoring Process Lab (TnS,SdC)",[T] Elective-Automobile Engineering (TrD),[T] Fluid Mechanis and Machinery (SlM),--- LUNCH ---,"[L:134] Power Engineering Lab (SlM,SbK)","[L:134] Power Engineering Lab (SlM,SbK)",

39,diploma-CE-3-A,Mon,--- OFF ---,[T] Building Maintenance (PY),[T] Estimate costing and Valuation (KP),[T] Safety Engg and Management in Construction Sector (KY),[T] Traffic Engg Elective (HS),--- LUNCH ---,[L:128] Design of RCC and Steel Structure Practices (SB),[L:128] Design of RCC and Steel Structure Practices (SB),
39,diploma-CE-3-A,Tue,--- OFF ---,,[T] Water Resource Engg. (KY),,[T] Building Maintenance (PY),--- LUNCH ---,,,
39,diploma-CE-3-A,Wed,--- OFF ---,[T] Estimate costing and Valuation (KP),[T] Traffic Engg Elective (HS),[T] Building Maintenance (PY),[T] Water Resource Engg. (KY),--- LUNCH ---,[L:129] Estimate costing and Valuation Practices (KY),[L:129] Estimate costing and Valuation Practices (KY),
39,diploma-CE-3-A,Thu,--- OFF ---,[T] Traffic Engg Elective (HS),,,,--- LUNCH ---,[L:129] Water Resource Engg. Lab (KY),[L:129] Water Resource Engg. Lab (KY),
39,diploma-CE-3-A,Fri,--- OFF ---,[T] Safety Engg and Management in Construction Sector (KY),,,[T] Estimate costing and Valuation (KP),--- LUNCH ---,,,

40,diploma-FET-3-A,Mon,--- OFF ---,,[T] Food Safety and Quality Management (MAM),[T] Food Engineering (VK),[T] Food Biotechnology (JA),--- LUNCH ---,[L:137] Dairy Technology Lab (PR),[L:137] Dairy Technology Lab (PR),
40,diploma-FET-3-A,Tue,--- OFF ---,,[T] Technology of Food IV (ABD),,[T] Food Engineering (VK),--- LUNCH ---,[L:140] Bakery and Confect Tech Lab (MiM),[L:140] Bakery and Confect Tech Lab (MiM),
40,diploma-FET-3-A,Wed,--- OFF ---,[T] Dairy Technology (SC),,[T] Bakery Technology (JA),[T] Food Safety and Quality Management (MAM),--- LUNCH ---,[L:140] Bakery and Confect Tech Lab (MiM),[L:140] Bakery and Confect Tech Lab (MiM),
40,diploma-FET-3-A,Thu,--- OFF ---,[T] Bakery Technology (JA),,,[T] Dairy Technology (SC),--- LUNCH ---,[L:137] Dairy Technology Lab (PR),[L:137] Dairy Technology Lab (PR),
40,diploma-FET-3-A,Fri,--- OFF ---,[T] Technology of Food IV (ABD),[T] Food Biotechnology (JA),[T] Dairy Technology (SC),[T] Bakery Technology (JA),--- LUNCH ---,[L:141] Food Analylis & QC Lab (PR),[L:141] Food Analylis & QC Lab (PR),[L:141] Food Analylis & QC Lab (PR)

41,diploma-EE-3-A,Mon,--- OFF ---,,,,[T] Solar Power Technologies (AmK),--- LUNCH ---,,,
41,diploma-EE-3-A,Tue,--- OFF ---,[T] Solar Power Technologies (AmK),[T] Microcontroller and its Application (AR),[T] Building Electrification (PM),,--- LUNCH ---,,"[L:108] Solar Power Technologies Lab (AmK,AB)","[L:108] Solar Power Technologies Lab (AmK,AB)"
41,diploma-EE-3-A,Wed,--- OFF ---,[T] Industrial Automation & Control  (SA),[T] Solar Power Technologies (AmK),[T] Microcontroller and its Application (AR),[T] Building Electrification (PM),--- LUNCH ---,"[L:111] Mircrocontroller and its Application Lab (AR,SM)","[L:111] Mircrocontroller and its Application Lab (AR,SM)",
41,diploma-EE-3-A,Thu,--- OFF ---,,,,[T] Industrial Automation & Control  (SA),--- LUNCH ---,,"[L:112] Industrial Automation and Control Lab (SA,MA)","[L:112] Industrial Automation and Control Lab (SA,MA)"
41,diploma-EE-3-A,Fri,--- OFF ---,,[T] Building Electrification (PM),[T] Industrial Automation & Control  (SA),[T] Microcontroller and its Application (AR),--- LUNCH ---,"[L:107] Building Electrification Lab (PM,DM)","[L:107] Building Electrification Lab (PM,DM)",

42,diploma-CST-3-A,Mon,--- OFF ---,[T] IOT (BPT),[T] Advanced Computer Network (DR),[T] Computer Ghraphics (TKO),[T] Theory of Automata (SDM),--- LUNCH ---,,,
42,diploma-CST-3-A,Tue,--- OFF ---,[T] Computer Ghraphics (TKO),[T] Theory of Automata (SDM),[T] Microcontroller and Microprocessor (SR),[T] Advanced Computer Network (DR),--- LUNCH ---,,,
42,diploma-CST-3-A,Wed,--- OFF ---,[T] Microcontroller and Microprocessor (SR),[T] Computer Ghraphics (TKO),[T] Advanced Computer Network (DR),[T] IOT (BPT),--- LUNCH ---,,,
42,diploma-CST-3-A,Thu,--- OFF ---,[T] Advanced Computer Network (DR),[T] IOT (BPT),[T] Theory of Automata (SDM),[T] Computer Ghraphics (TKO),--- LUNCH ---,,,
42,diploma-CST-3-A,Fri,--- OFF ---,[T] Theory of Automata (SDM),,[T] IOT (BPT),[T] Microcontroller and Microprocessor (SR),--- LUNCH ---,,,

