Batch ID,Batch Name,Day,S1,S2,S3,S4,S5,S6,S7,S8,S9
6,btech-CSE-1-A,Tue,,,,,--- LUNCH ---,[L:122] Applied Physics I Lab (Gr-1) (RD),[L:122] Applied Physics I Lab (Gr-1) (RD),[L:122] Applied Physics I Lab (Gr-1) (RD),
6,btech-CSE-1-A,Wed,[T] Mathematics IA (GH),,[T] Applied Physics I (RD),[T] Basic Electrical Engineering (TkD),--- LUNCH ---,,,,
6,btech-CSE-1-A,Thu,[T] Basic Electrical Engineering (TkD),[T] Applied Physics I (RD),[T] Mathematics IA (GH),,--- LUNCH ---,"[L:130] WorKshop (Gr-1) (AbK,PrS)","[L:130] WorKshop (Gr-1) (AbK,PrS)","[L:130] WorKshop (Gr-1) (AbK,PrS)","[L:130] WorKshop (Gr-1) (AbK,PrS)"
6,btech-CSE-1-A,Fri,[T] Applied Physics I (RD),[T] Basic Electrical Engineering (TkD),,[T] Mathematics IA (GH),--- LUNCH ---,"[L:114] Basic Electrical Engineering Lab (Gr-1) (TkD,AB)","[L:114] Basic Electrical Engineering Lab (Gr-1) (TkD,AB)",,

7,btech-CSE-1-B,Mon,[T] Workshop (SkD),[T] Mathematics IA (GH),[T] Basic Electrical Engineering (TkD),[T] Applied Physics I (RD),--- LUNCH ---,,,,
7,btech-CSE-1-B,Tue,,,,,--- LUNCH ---,"[L:130] WorKshop (Gr-1) (SkD,PrS)","[L:130] WorKshop (Gr-1) (SkD,PrS)","[L:130] WorKshop (Gr-1) (SkD,PrS)","[L:130] WorKshop (Gr-1) (SkD,PrS)"
7,btech-CSE-1-B,Wed,[T] Mathematics IA (GH),,[T] Applied Physics I (RD),[T] Basic Electrical Engineering (TkD),--- LUNCH ---,,,,
7,btech-CSE-1-B,Thu,[T] Basic Electrical Engineering (TkD),[T] Applied Physics I (RD),[T] Mathematics IA (GH),,--- LUNCH ---,"[L:114] Basic Electrical Engineering Lab (Gr-1) (TkD,AB)","[L:114] Basic Electrical Engineering Lab (Gr-1) (TkD,AB)",,
7,btech-CSE-1-B,Fri,[T] Applied Physics I (RD),[T] Basic Electrical Engineering (TkD),,[T] Mathematics IA (GH),--- LUNCH ---,[L:122] Applied Physics I Lab (Gr-1) (AP),[L:122] Applied Physics I Lab (Gr-1) (AP),[L:122] Applied Physics I Lab (Gr-1) (AP),

8,btech-ME-2-A,Mon,[T] Engineering Mechanics (HbM),,,,--- LUNCH ---,"[L:130] Practice for Manufacturing(Gr-1) (DD,PrS)","[L:130] Practice for Manufacturing(Gr-1) (DD,PrS)","[L:130] Practice for Manufacturing(Gr-1) (DD,PrS)",
8,btech-ME-2-A,Tue,[T] Thermodynamics (SkD),[T] Matematics-III (DG),[T] Engineering Mechanics (HbM),[T] Manufacturing Process (DD),--- LUNCH ---,[T] Basic Electronics Engineering (SrC),,,
8,btech-ME-2-A,Wed,[T] Biology  (Guest),[T] Engineering Mechanics (HbM),[T] Manufacturing Process (DD),[T] Thermodynamics (SkD),--- LUNCH ---,[T] Matematics-III (DG),,,
8,btech-ME-2-A,Thu,[T] Manufacturing Process (DD),[T] Basic Electronics Engineering (SrC),[T] Biology  (Guest),[T] Matematics-III (DG),--- LUNCH ---,[T] Thermodynamics (SkD),,,
8,btech-ME-2-A,Fri,[T] Matematics-III (DG),[T] Biology  (Guest),[T] Basic Electronics Engineering (SrC),[T] Engineering Mechanics (HbM),--- LUNCH ---,[T] Manufacturing Process (DD),[T] Thermodynamics (SkD),,

