Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
A36,Fri,Solar Power Technologies (AK),,Industrial Automation & Control  (SA),,--- LUNCH ---,,,

A39,Mon,Engineering Grapics (HbR),Chemistry I (SSD),Basic Electrical Engineering (TkD),Basic Electrical Engineering (TkD),--- LUNCH ---,,,
A39,Tue,Chemistry I (SSD),Mathematics IB (RKN),,,--- LUNCH ---,,,
A39,Wed,,Basic Electrical Engineering (TkD),,Mathematics IB (RKN),--- LUNCH ---,,,
A39,Thu,,Mathematics IB (RKN),Basic Electrical Engineering (TkD),Chemistry I (SSD),--- LUNCH ---,,,
A39,Fri,,Mathematics IB (RKN),,Chemistry I (SSD),--- LUNCH ---,,,

B110,Mon,Automobile Engineering (NM),Industrial Engineering (AnP),Industrial Engineering (AnP),CAD-CAM (HbM),--- LUNCH ---,Non-Conventional Energy (SkD),,
B110,Tue,Non-Conventional Energy (SkD),Mechanical Vibration (DS),Mechanical Vibration (DS),Economics (PS),--- LUNCH ---,Advanced Weilding technolog (TnS),,
B110,Wed,Advanced Weilding technolog (TnS),Automobile Engineering (NM),Advance Manufacturing Technology (DD),Industrial Engineering (AnP),--- LUNCH ---,Non-Conventional Energy (SkD),,
B110,Thu,Advance Manufacturing Technology (DD),Economics (PS),CAD-CAM (HbM),Automobile Engineering (NM),--- LUNCH ---,,,
B110,Fri,Economics (PS),Mechanical Vibration (DS),Advance Manufacturing Technology (DD),CAD-CAM (HbM),--- LUNCH ---,Advanced Weilding technolog (TnS),,

B112,Mon,Effe. Technical Communication (CD),,Kinematics & TOM (HbR),Kinematics & TOM (HbR),--- LUNCH ---,,,
B112,Tue,Kinematics & TOM (HbR),Essence of Indian Knowledge Tradition (AS),Heat Transfer (MJK),Kinematics & TOM (HbR),--- LUNCH ---,,,
B112,Wed,,Solid Mechanics (MJK),Effe. Technical Communication (CD),Solid Mechanics (MJK),--- LUNCH ---,,,
B112,Thu,Heat Transfer (MJK),Solid Mechanics (MJK),Effe. Technical Communication (CD),Solid Mechanics (MJK),--- LUNCH ---,,,
B112,Fri,,Heat Transfer (MJK),Essence of Indian Knowledge Tradition (AS),Heat Transfer (MJK),--- LUNCH ---,,,

B202,Mon,,Elective-Automobile Engineering (TrD),Fluid Mechanis and Machinery (SM),Elective-Material Handling System (AnP),--- LUNCH ---,,,
B202,Tue,,Power Engineering (SM),,Fluid Mechanis and Machinery (SM),--- LUNCH ---,,,
B202,Wed,Elective-Material Handling System (AnP),Power Engineering (SM),,Elective-Automobile Engineering (TrD),--- LUNCH ---,,,
B202,Thu,,Fluid Mechanis and Machinery (SM),,Power Engineering (SM),--- LUNCH ---,,,
B202,Fri,Advance Manufactoring Process (AbK),Advance Manufactoring Process (AbK),Advance Manufactoring Process (AbK),,--- LUNCH ---,,,

B203,Mon,Thermodynamics (SkD),Thermodynamics (SkD),Engineering Mechanics (HbM),Matematics-III (DG),--- LUNCH ---,,,
B203,Tue,Manufacturing Process (DD),Thermodynamics (SkD),Matematics-III (DG),Biology  (Guest),--- LUNCH ---,,,
B203,Wed,Engineering Mechanics (HbM),Biology  (Guest),Engineering Mechanics (HbM),Basic Electronics Engineering (SrC),--- LUNCH ---,Matematics-III (DG),,
B203,Thu,Thermodynamics (SkD),Matematics-III (DG),Basic Electronics Engineering (SrC),Manufacturing Process (DD),--- LUNCH ---,,,
B203,Fri,Biology  (Guest),Manufacturing Process (DD),Engineering Mechanics (HbM),Basic Electronics Engineering (SrC),--- LUNCH ---,Manufacturing Process (DD),,

B204,Mon,,Thermal Engineering (NM),,,--- LUNCH ---,,,
B204,Tue,Manufactoring Process 1 (AbK),Manufactoring Process 1 (AbK),Manufactoring Process 1 (AbK),Mech Eng Drawing (HbM),--- LUNCH ---,,,
B204,Wed,Thermal Engineering (NM),Mech Eng Drawing (HbM),Mech. Eng. Materials (RR),Mech. Eng. Materials (RR),--- LUNCH ---,,,
B204,Thu,Strength of Material (TrD),Strength of Material (TrD),,Mech. Eng. Materials (RR),--- LUNCH ---,,,
B204,Fri,,Strength of Material (TrD),,Thermal Engineering (NM),--- LUNCH ---,,,

C22,Mon,CE Planning and Drawing (HS),Transotation Engg. (PY),,Mechanics of Material (SB),--- LUNCH ---,,,
C22,Tue,Basic Surveying (HR),Mechanics of Material (SB),Buliding Construction (SB),,--- LUNCH ---,,,
C22,Wed,Construction of Materials (KY),Mechanics of Material (SB),Basic Surveying (HR),Transotation Engg. (PY),--- LUNCH ---,,,
C22,Thu,Concrete Technology (HS),Construction of Materials (KY),Concrete Technology (HS),,--- LUNCH ---,,,
C22,Fri,,,Basic Surveying (HR),Buliding Construction (SB),--- LUNCH ---,,,

C23,Mon,,Safety Engg and Management in Construction Sector (KY),,,--- LUNCH ---,,,
C23,Tue,,Traffic Engg Elective (HS),Building Maintenance (PY),Traffic Engg Elective (HS),--- LUNCH ---,,,
C23,Wed,Estimate costing and Valuation (KP),,Building Maintenance (PY),Safety Engg and Management in Construction Sector (KY),--- LUNCH ---,,,
C23,Thu,,Building Maintenance (PY),Water Resource Engg. (KY),Water Resource Engg. (KY),--- LUNCH ---,,,
C23,Fri,,Estimate costing and Valuation (KP),Traffic Engg Elective (HS),Estimate costing and Valuation (KP),--- LUNCH ---,,,

C24,Mon,,,,,--- LUNCH ---,,,
C24,Tue,,Applied Chemistry (AM),Applied Chemistry (AM),Applied Physics (RD),--- LUNCH ---,,,
C24,Wed,Applied Physics (RD),Mathematics-I (BKT),,,--- LUNCH ---,,,
C24,Thu,Applied Physics (RD),Applied Chemistry (AM),Communication Skill in English (SSC),Communication Skill in English (SSC),--- LUNCH ---,,,
C24,Fri,Mathematics-I (BKT),Mathematics-I (BKT),,,--- LUNCH ---,,,

C25,Mon,Surveying (PY),Basic Env Engg and Ele Bio (KP),Building Material & Construction (HS),Values & Ethics in Profession (AS),--- LUNCH ---,,,
C25,Tue,Thermodynamics & kinetics (SC),Basic Env Engg and Ele Bio (KP),Chemistry II (SN),Chemistry II (SN),--- LUNCH ---,,,
C25,Wed,Surveying (PY),Values & Ethics in Profession (AS),Building Material & Construction (HS),Chemistry II (SN),--- LUNCH ---,,,
C25,Thu,Values & Ethics in Profession (AS),Building Material & Construction (HS),Chemistry II (SN),Chemistry II (SN),--- LUNCH ---,,,
C25,Fri,Basic Env Engg and Ele Bio (KP),Building Material & Construction (HS),Surveying (PY),Building Material & Construction (HS),--- LUNCH ---,Thermodynamics & kinetics (SC),,

C26,Mon,Design of RC Structures A (SB),Design of RC Structures B (SS),Design of RC Structures B (SS),Concrete Technology A (SS),--- LUNCH ---,Economics (PS),,
C26,Tue,Concrete Technology A (SS),Unit Operation II (SC),Engineering geology-B (HR),Design of RC Structures A (SB),--- LUNCH ---,,,
C26,Wed,Engineering geology-A (SB),Design of RC Structures B (SS),Engineering geology-A (SB),Engineering geology-B (HR),--- LUNCH ---,,,
C26,Thu,Engineering geology-A (SB),Design of RC Structures A (SB),Concrete Technology B (HR),Concrete Technology B (HR),--- LUNCH ---,Engineering geology-B (HR),,
C26,Fri,Concrete Technology B (HR),Unit Operation II (SC),Unit Operation II (SC),Concrete Technology A (SS),--- LUNCH ---,,,

C37,Mon,,Object Oriented Programming (SUD),Probability & Statistics (DG),,--- LUNCH ---,,,
C37,Tue,Intro to industrial management (TnS),Operating System (SDM),Object Oriented Programming (SUD),Operating System (SDM),--- LUNCH ---,,,
C37,Wed,,Intro to Machine Learning (IW),Probability & Statistics (DG),,--- LUNCH ---,,,
C37,Thu,Intro to Machine Learning (IW),,Operating System (SDM),Intro to industrial management (TnS),--- LUNCH ---,,,
C37,Fri,Probability & Statistics (DG),Intro to industrial management (TnS),Intro to Machine Learning (IW),Object Oriented Programming (SUD),--- LUNCH ---,,,

C38,Mon,Analog & Digital Electronics (SrC),,DSA (IW),Economics (PS),--- LUNCH ---,,,
C38,Tue,DSA (IW),Computer Organisation (SR),DSA (IW),Linear Algebra (GH),--- LUNCH ---,,,
C38,Wed,Linear Algebra (GH),,,,--- LUNCH ---,,,
C38,Thu,,,Economics (PS),Computer Organisation (SR),--- LUNCH ---,,,
C38,Fri,Analog & Digital Electronics (SrC),Analog & Digital Electronics (SrC),Computer Organisation (SR),Economics (PS),--- LUNCH ---,,,

C39,Mon,Workshop (AnP),,,Applied Physics I (AP),--- LUNCH ---,,,
C39,Tue,Basic Electrical Engineering (CS),,Basic Electrical Engineering (CS),,--- LUNCH ---,,,
C39,Wed,Mathematics IA (RKN),Mathematics IA (RKN),Applied Physics I (AP),,--- LUNCH ---,,,
C39,Thu,Basic Electrical Engineering (CS),Applied Physics I (AP),Mathematics IA (RKN),,--- LUNCH ---,,,
C39,Fri,,Applied Physics I (AP),Mathematics IA (RKN),Basic Electrical Engineering (CS),--- LUNCH ---,,,

D12,Mon,,Unit Operation of Chemical Engineering - I (VK),,Technology in Food Preservation (JA),--- LUNCH ---,,,
D12,Tue,,Unit Operation of Chemical Engineering - I (VK),Chemistry of Food (SKD),Engg. Thermodynamics & Chem Kinetics (SC),--- LUNCH ---,,,
D12,Wed,,Food Microbiology (JA),Chemistry of Food (SKD),Engg. Thermodynamics & Chem Kinetics (SC),--- LUNCH ---,,,
D12,Thu,,Fundamental Chemistry (SKD),Unit Operation of Chemical Engineering - I (VK),,--- LUNCH ---,,,
D12,Fri,,Fundamental Chemistry (SKD),Technology in Food Preservation (JA),Food Microbiology (JA),--- LUNCH ---,,,

D22,Mon,Food Saftey & Quality Management (VK),,Food Packaging Technology (SC),Nanoscience in Food Science (KKD),--- LUNCH ---,,,
D22,Tue,,Project Engg & Food Plant Layout (ABD),Entrepreuneurship for Food Tech (AnS),Food Saftey & Quality Management (VK),--- LUNCH ---,,,
D22,Wed,Modelling and Sim. of Food Process (SC),Modelling and Sim. of Food Process (SC),Food Packaging Technology (SC),Food Saftey & Quality Management (VK),--- LUNCH ---,,,
D22,Thu,Project Engg & Food Plant Layout (ABD),Nanoscience in Food Science (KKD),Entrepreuneurship for Food Tech (AnS),Modelling and Sim. of Food Process (SC),--- LUNCH ---,,,
D22,Fri,Entrepreuneurship for Food Tech (AnS),Project Engg & Food Plant Layout (ABD),Nanoscience in Food Science (KKD),Food Packaging Technology (SC),--- LUNCH ---,,,

D23,Mon,Economics (PS),Renewable Energy (ABD),Food Process Engineering (KKD),Fermentation Technology (AnS),--- LUNCH ---,Fermentation Technology (AnS),,
D23,Tue,Food Processing Technology I (MAM),Economics (PS),Renewable Energy (ABD),Food Processing Technology I (MAM),--- LUNCH ---,,,
D23,Wed,Food Processing Technology I (MAM),Food Processing Technology II (SKD),Constitution (AS),Food Process Engineering (KKD),--- LUNCH ---,,,
D23,Thu,Food Processing Technology II (SKD),Fermentation Technology (AnS),Constitution (AS),Food Processing Technology II (SKD),--- LUNCH ---,,,
D23,Fri,Food Process Engineering (KKD),Constitution (AS),Renewable Energy (ABD),Food Processing Technology I (MAM),--- LUNCH ---,,,

D24,Mon,Dairy Technology (SC),,Bakery Technology (JA),Dairy Technology (SC),--- LUNCH ---,,,
D24,Tue,,,,,--- LUNCH ---,,,
D24,Wed,Food Biotechnology (JA),Food Safety and Quality Management (MAM),Technology of Food IV (ABD),Technology of Food IV (ABD),--- LUNCH ---,,,
D24,Thu,Bakery Technology (JA),Bakery Technology (JA),Food Biotechnology (JA),Food Engineering (VK),--- LUNCH ---,,,
D24,Fri,Dairy Technology (SC),Food Safety and Quality Management (MAM),Food Engineering (VK),,--- LUNCH ---,,,

D25,Mon,Biology for Engineers (Guest),Chemistry for Food (MAM),Biology for Engineers (Guest),Chemistry for Food Lab  (MAM),--- LUNCH ---,,,
D25,Tue,Food Microbiology (AnS),Chemistry for Food (MAM),Biology for Engineers (Guest),Chemistry II (AM),--- LUNCH ---,Chemistry II (AM),,
D25,Wed,Food Microbiology (AnS),Unit Operation I (VK),Chemistry for Food Lab  (MAM),Chemistry II (AM),--- LUNCH ---,Food Microbiology (AnS),,
D25,Thu,Unit Operation I (VK),Chemistry for Food Lab  (MAM),Engineering Thermodynamics (SKD),Food Microbiology (AnS),--- LUNCH ---,Unit Operation I (VK),,
D25,Fri,Chemistry for Food (MAM),Unit Operation I (VK),Engineering Thermodynamics (SKD),Engineering Thermodynamics (SKD),--- LUNCH ---,Chemistry for Food (MAM),,

D26,Mon,Computer Programming (SUD),,Computer System Organization (SDM),Algorithms (DR),--- LUNCH ---,,,
D26,Tue,Data Structure (TKO),Scripting Languages (IW),Computer System Organization (SDM),,--- LUNCH ---,,,
D26,Wed,Algorithms (DR),Computer Programming (SUD),Data Structure (TKO),,--- LUNCH ---,,,
D26,Thu,Computer System Organization (SDM),,,Scripting Languages (IW),--- LUNCH ---,,,
D26,Fri,Data Structure (TKO),,Computer System Organization (SDM),Algorithms (DR),--- LUNCH ---,,,

D37,Mon,Microcontroller and Microprocessor (SR),Computer Ghraphics (TKO),Microcontroller and Microprocessor (SR),Computer Ghraphics (TKO),--- LUNCH ---,,,
D37,Tue,Theory of Automata (SDM),Advanced Computer Network (DR),IOT (BPT),Advanced Computer Network (DR),--- LUNCH ---,,,
D37,Wed,Computer Ghraphics (TKO),IOT (BPT),Theory of Automata (SDM),Microcontroller and Microprocessor (SR),--- LUNCH ---,,,
D37,Thu,Advanced Computer Network (DR),Theory of Automata (SDM),IOT (BPT),Advanced Computer Network (DR),--- LUNCH ---,,,
D37,Fri,Theory of Automata (SDM),IOT (BPT),,Computer Ghraphics (TKO),--- LUNCH ---,,,

D38,Mon,,Communication Skill in English (SSC),,,--- LUNCH ---,,,
D38,Tue,Applied Physics (RD),Communication Skill in English (SSC),,Mathematics-I (BKT),--- LUNCH ---,,,
D38,Wed,,Applied Physics (RD),Applied Chemistry (AM),,--- LUNCH ---,,,
D38,Thu,Mathematics-I (BKT),,Mathematics-I (BKT),,--- LUNCH ---,,,
D38,Fri,,Applied Chemistry (AM),Applied Chemistry (AM),Applied Physics (RD),--- LUNCH ---,,,

D39,Mon,,Applied Physics I (RD),Workshop (SkD),,--- LUNCH ---,,,
D39,Tue,Basic Electrical Engineering (TkD),,Basic Electrical Engineering (TkD),Basic Electrical Engineering (TkD),--- LUNCH ---,,,
D39,Wed,,Mathematics IA (GH),,Applied Physics I (RD),--- LUNCH ---,,,
D39,Thu,Mathematics IA (GH),,Mathematics IA (GH),Applied Physics I (RD),--- LUNCH ---,,,
D39,Fri,Applied Physics I (RD),Mathematics IA (GH),Basic Electrical Engineering (TkD),,--- LUNCH ---,,,

