Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
A12,Mon,Power Electronics (SnC),Renewable & NC Energy (SA),Power System I (SrC),Power System I (SrC),--- LUNCH ---,,,
A12,Tue,Power Electronics (SnC),DSA (SuB),DSA (SuB),Renewable & NC Energy (SA),--- LUNCH ---,,,
A12,Wed,Electrical Machine II (GG),Control System (RRK),Control System (RRK),Power Electronics (SnC),--- LUNCH ---,,,
A12,Thu,,Power System I (SrC),Electrical Machine II (GG),Control System (RRK),--- LUNCH ---,,,
A12,Fri,Renewable & NC Energy (SA),Electrical Machine II (GG),DSA (SuB),,--- LUNCH ---,,,

A13,Mon,,Artificial Intelligence (SuB),Principles of Management (PS),,--- LUNCH ---,,,
A13,Tue,,Digital Image Processing (AR),Power Generation Economics (SnC),,--- LUNCH ---,,,
A13,Wed,Electric Drive (CS),Electric Drive (CS),Artificial Intelligence (SuB),Principles of Management (PS),--- LUNCH ---,,,
A13,Thu,Principles of Management (PS),Power Generation Economics (SnC),Artificial Intelligence (SuB),,--- LUNCH ---,,,
A13,Fri,Electric Drive (CS),Digital Image Processing (AR),Power Generation Economics (SnC),Digital Image Processing (AR),--- LUNCH ---,,,

A24,Mon,Electric Circuit Theory (RK),Electromagnetic Field Theory (GG),Engineering Mechanics (TnS),Biology for Engineers (Guest),--- LUNCH ---,,,
A24,Tue,Indian Contitution (AS),Electromagnetic Field Theory (GG),Analog Electronics (AR),Indian Contitution (AS),--- LUNCH ---,,,
A24,Wed,Biology for Engineers (Guest),Analog Electronics (AR),Mathematics-III (BKT),Electromagnetic Field Theory (GG),--- LUNCH ---,,,
A24,Thu,Engineering Mechanics (TnS),Mathematics-III (BKT),Electric Circuit Theory (RK),Biology for Engineers (Guest),--- LUNCH ---,,,
A24,Fri,Analog Electronics (AR),Electric Circuit Theory (RK),Engineering Mechanics (TnS),Indian Contitution (AS),--- LUNCH ---,Mathematics-III (BKT),,

A35,Mon,DC Machines and Transformers (RRK),,DC Machines and Transformers (RRK),Introduction to Electric Generation System (AK),--- LUNCH ---,,,
A35,Tue,Introduction to Electric Generation System (AK),DC Machines and Transformers (RRK),Electrical and Electronics Measurment (SA),,--- LUNCH ---,,,
A35,Wed,Electrical and Electronics Measurment (SA),,,Electrical Circuits (RK),--- LUNCH ---,,,
A35,Thu,Electrical Circuits (RK),Analog and Digital Electronics (TkD),,Analog and Digital Electronics (TkD),--- LUNCH ---,,,
A35,Fri,Electrical Circuits (RK),Electrical and Electronics Measurment (SA),Introduction to Electric Generation System (AK),Analog and Digital Electronics (TkD),--- LUNCH ---,,,

A36,Mon,,,Solar Power Technologies (AK),,--- LUNCH ---,,,
A36,Tue,Industrial Automation & Control  (SA),Building Electrification (PM),,Building Electrification (PM),--- LUNCH ---,,,
A36,Wed,Microcontroller and its Application (AR),Solar Power Technologies (AK),Microcontroller and its Application (AR),,--- LUNCH ---,,,
A36,Thu,Building Electrification (PM),Industrial Automation & Control  (SA),,Microcontroller and its Application (AR),--- LUNCH ---,,,
