Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
C24,Wed,,,,,--- LUNCH ---,,,
C24,Thu,,,,,--- LUNCH ---,,,
C24,Fri,Mathematics-I (BKT),Applied Physics (RD),Applied Physics (RD),Applied Chemistry (AM),--- LUNCH ---,Applied Physics (RD),Mathematics-I (BKT),

D12,Mon,,,,,--- LUNCH ---,Unit Operation of Chemical Engineering - I (VK),Technology in Food Preservation (JA),
D12,Tue,Food Microbiology (JA),Food Microbiology (JA),Fundamental Chemistry (SKD),Fundamental Chemistry (SKD),--- LUNCH ---,,,
D12,Wed,Unit Operation of Chemical Engineering - I (VK),Chemistry of Food (SKD),Unit Operation of Chemical Engineering - I (VK),Engg. Thermodynamics & Chem Kinetics (SC),--- LUNCH ---,,,
D12,Thu,Chemistry of Food (SKD),,,,--- LUNCH ---,,,
D12,Fri,Technology in Food Preservation (JA),,,,--- LUNCH ---,Engg. Thermodynamics & Chem Kinetics (SC),,

D24,Mon,Technology of Food IV (ABD),Food Safety and Quality Management (MAM),Technology of Food IV (ABD),Food Engineering (VK),--- LUNCH ---,,,
D24,Tue,Food Safety and Quality Management (MAM),Food Engineering (VK),Bakery Technology (JA),,--- LUNCH ---,,,
D24,Wed, Food Biotechnology (JA),,,,--- LUNCH ---,,,
D24,Thu,Bakery Technology (JA),Dairy Technology (SC),Dairy Technology (SC),Bakery Technology (JA),--- LUNCH ---, Food Biotechnology (JA),,
D24,Fri,Dairy Technology (SC),,,,--- LUNCH ---,,,

D26,Mon,Computer System Organization (SDM),Computer Programming (SUD),Algorithms (DR),Computer System Organization (SDM),--- LUNCH ---,,,
D26,Tue,,,,,--- LUNCH ---,Algorithms (DR),Algorithms (DR),Data Structure (TKO)
D26,Wed,,,,,--- LUNCH ---,,,
D26,Thu,Scripting Languages (IW),Computer System Organization (SDM),Computer System Organization (SDM),,--- LUNCH ---,,,
D26,Fri,Computer Programming (SUD),Scripting Languages (IW),Data Structure (TKO),Data Structure (TKO),--- LUNCH ---,,,

D37,Mon,,,,,--- LUNCH ---,Theory of Automata (SDM),Computer Ghraphics (TKO),Theory of Automata (SDM)
D37,Tue,Microcontroller and Microprocessor (SR),Computer Ghraphics (TKO),Theory of Automata (SDM),IOT (BPT),--- LUNCH ---,,,
D37,Wed,Computer Ghraphics (TKO),Microcontroller and Microprocessor (SR),,,--- LUNCH ---,,,
D37,Thu,Advanced Computer Network (DR),Advanced Computer Network (DR),IOT (BPT),Advanced Computer Network (DR),--- LUNCH ---,Computer Ghraphics (TKO),Theory of Automata (SDM),Advanced Computer Network (DR)
D37,Fri,IOT (BPT),IOT (BPT),Microcontroller and Microprocessor (SR),,--- LUNCH ---,,,

D38,Mon,,,,,--- LUNCH ---,,,
D38,Tue,,,,,--- LUNCH ---,,,
D38,Wed,Communication Skill in English (SSC),Mathematics-I (BKT),Communication Skill in English (SSC),Applied Physics (RD),--- LUNCH ---,Mathematics-I (BKT),Applied Physics (RD),
D38,Thu,,,,,--- LUNCH ---,Applied Chemistry (AM),Applied Chemistry (AM),
D38,Fri,Applied Physics (RD),Applied Chemistry (AM),Mathematics-I (BKT),,--- LUNCH ---,,,

