Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
A35,Mon,Electrical and Electronics Measurment (SA),Analog and Digital Electronics (TKD),,,--- LUNCH ---,,,
A35,Tue,Electrical Circuits (RK),Electrical Circuits (RK),Analog and Digital Electronics (TKD),,--- LUNCH ---,,,
A35,Wed,Analog and Digital Electronics (TKD),Electrical and Electronics Measurment (SA),Electrical Circuits (RK),Electrical and Electronics Measurment (SA),--- LUNCH ---,Introduction to Electric Generation System (AK),Introduction to Electric Generation System (AK),
A35,Thu,DC Machines and Transformers (RRK),DC Machines and Transformers (RRK),Introduction to Electric Generation System (AK),DC Machines and Transformers (RRK),--- LUNCH ---,,,
A35,Fri,,,,,--- LUNCH ---,,,

A36,Mon,,,,,--- LUNCH ---,,,
A36,Tue,Industrial Automation & Control  (SM),,,,--- LUNCH ---,,,
A36,Wed,Solar Power Technologies (AK),Microcontroller and its Application (AR),Industrial Automation & Control  (SM),,--- LUNCH ---,,,
A36,Thu,Microcontroller and its Application (AR),Solar Power Technologies (AK),Microcontroller and its Application (AR),Solar Power Technologies (AK),--- LUNCH ---,,,
A36,Fri,Building Electrification (PM),Building Electrification (PM),Building Electrification (PM),Industrial Automation & Control  (SM),--- LUNCH ---,,,

B202,Mon,,,,,--- LUNCH ---,Elective-Automobile Engineering (TrD),Fluid Mechanis and Machinery (SM),Power Engineering (SM)
B202,Tue,Advance Manufactoring Process (AbK),Elective-Material Handling System (Anp),Advance Manufactoring Process (AbK),Advance Manufactoring Process (AbK),--- LUNCH ---,,,
B202,Wed,Fluid Mechanis and Machinery (SM),Fluid Mechanis and Machinery (SM),Elective-Material Handling System (Anp),,--- LUNCH ---,,,
B202,Thu,,,,,--- LUNCH ---,Power Engineering (SM),,
B202,Fri,Power Engineering (SM),Elective-Automobile Engineering (TrD),,,--- LUNCH ---,,,

B204,Mon,Mech Eng Drawing (HbM),Thermal Engineering (NM),Strength of Material (TrD),,--- LUNCH ---,,,
B204,Tue,Strength of Material (TrD),,,,--- LUNCH ---,,,
B204,Wed,,,,,--- LUNCH ---,,,
B204,Thu,Mech. Eng. Materials (RR),Mech. Eng. Materials (RR),Thermal Engineering (NM),Mech. Eng. Materials (RR),--- LUNCH ---,,,
B204,Fri,Thermal Engineering (NM),Manufactoring Process 1 (AbK),Mech Eng Drawing (HbM),Strength of Material (TrD),--- LUNCH ---,Manufactoring Process 1 (AbK),Manufactoring Process 1 (AbK),

C22,Mon,Basic Surveying (HR),Concrete Technology (HS),Basic Surveying (HR),Mechanics of Material (SB),--- LUNCH ---,Construction of Materials (KY),CE Planning and Drawing (HS),
C22,Tue,Buliding Construction (SB),Buliding Construction (SB),Transotation Engg. (PY),,--- LUNCH ---,,,
C22,Wed,,,,,--- LUNCH ---,,,
C22,Thu,,,,,--- LUNCH ---,Mechanics of Material (SB),,
C22,Fri,Construction of Materials (KY),Basic Surveying (HR),Mechanics of Material (SB),Concrete Technology (HS),--- LUNCH ---,Transotation Engg. (PY),,

C23,Mon,Building Maintenance (PY),Building Maintenance (PY),Estimate costing and Valuation (KP),,--- LUNCH ---,,,
C23,Tue,Estimate costing and Valuation (KP),Safety Engg and Management in Construction Sector (KY),Safety Engg and Management in Construction Sector (KY),Building Maintenance (PY),--- LUNCH ---,,,
C23,Wed,,,,,--- LUNCH ---,,,
C23,Thu,Traffic Engg Elective (HS),Estimate costing and Valuation (KP),Traffic Engg Elective (HS),Water Resource Engg. (KY),--- LUNCH ---,,,
C23,Fri,,,,,--- LUNCH ---,Traffic Engg Elective (HS),Water Resource Engg. (KY),

C24,Mon,Applied Chemistry (AM),Communication Skill in English (SSC),Applied Chemistry (AM),Mathematics-I (BKT),--- LUNCH ---,,,
C24,Tue,,,,,--- LUNCH ---,Communication Skill in English (SSC),,
