Room,Day,S1,S2,S3,S4,S5,S6,S7,S8
D12,Fri,Chemistry of Food (SKD),Technology in Food Preservation (JA),,Engg. Thermodynamics & Chem Kinetics (SC),--- LUNCH ---,,,

D24,Mon,,Dairy Technology (SC),,Bakery Technology (JA),--- LUNCH ---,,,
D24,Tue,Technology of Food IV (ABD),Food Engineering (VK),Dairy Technology (SC),,--- LUNCH ---,,,
D24,Wed,Bakery Technology (JA), Food Biotechnology (JA),Technology of Food IV (ABD),Bakery Technology (JA),--- LUNCH ---,,,
D24,Thu,,Food Safety and Quality Management (MAM), Food Biotechnology (JA),,--- LUNCH ---,,,
D24,Fri,Food Safety and Quality Management (MAM),Dairy Technology (SC),Food Engineering (VK),,--- LUNCH ---,,,

D26,Mon,,Data Structure (TKO),Computer Programming (SUD),Computer System Organization (SDM),--- LUNCH ---,,,
D26,Tue,Data Structure (TKO),Computer Programming (SUD),,Computer System Organization (SDM),--- LUNCH ---,,,
D26,Wed,,Computer System Organization (SDM),Scripting Languages (IW),Algorithms (DR),--- LUNCH ---,,,
D26,Thu,,Algorithms (DR),Algorithms (DR),,--- LUNCH ---,,,
D26,Fri,Computer System Organization (SDM),Scripting Languages (IW),Data Structure (TKO),,--- LUNCH ---,,,

D37,Mon,Computer Ghraphics (TKO),Microcontroller and Microprocessor (SR),Advanced Computer Network (DR),Computer Ghraphics (TKO),--- LUNCH ---,,,
D37,Tue,Advanced Computer Network (DR),Advanced Computer Network (DR),,IOT (BPT),--- LUNCH ---,,,
D37,Wed,Microcontroller and Microprocessor (SR),Computer Ghraphics (TKO),Theory of Automata (SDM),IOT (BPT),--- LUNCH ---,,,
D37,Thu,Computer Ghraphics (TKO),Theory of Automata (SDM),Microcontroller and Microprocessor (SR),IOT (BPT),--- LUNCH ---,,,
D37,Fri,IOT (BPT),Advanced Computer Network (DR),Theory of Automata (SDM),Theory of Automata (SDM),--- LUNCH ---,,,

D38,Mon,Applied Physics (RD),Communication Skill in English (SSC),Communication Skill in English (SSC),,--- LUNCH ---,,,
D38,Tue,,Mathematics-I (BKT),,,--- LUNCH ---,,,
D38,Wed,Applied Chemistry (AM),Mathematics-I (BKT),Mathematics-I (BKT),,--- LUNCH ---,,,
D38,Thu,Applied Physics (RD),,,,--- LUNCH ---,,,
D38,Fri,,Applied Physics (RD),Applied Chemistry (AM),Applied Chemistry (AM),--- LUNCH ---,,,

